 0.00000000e+00  8.99999376e-01  0.00000000e+00  8.50033447e-01  0.00000000e+00  8.90008033e-01  0.00000000e+00  9.38101694e-01 
 2.00000000e-08  8.99999379e-01  2.00000000e-08  8.50033447e-01  2.00000000e-08  8.90008033e-01  2.00000000e-08  9.38101694e-01 
 4.00000000e-08  8.99999384e-01  4.00000000e-08  8.50033447e-01  4.00000000e-08  8.90008033e-01  4.00000000e-08  9.38101694e-01 
 8.00000000e-08  8.99999393e-01  8.00000000e-08  8.50033447e-01  8.00000000e-08  8.90008034e-01  8.00000000e-08  9.38101694e-01 
 1.60000000e-07  8.99999411e-01  1.60000000e-07  8.50033447e-01  1.60000000e-07  8.90008034e-01  1.60000000e-07  9.38101694e-01 
 3.20000000e-07  8.99999449e-01  3.20000000e-07  8.50033447e-01  3.20000000e-07  8.90008034e-01  3.20000000e-07  9.38101694e-01 
 6.40000000e-07  8.99999523e-01  6.40000000e-07  8.50033449e-01  6.40000000e-07  8.90008034e-01  6.40000000e-07  9.38101694e-01 
 1.28000000e-06  8.99999672e-01  1.28000000e-06  8.50033473e-01  1.28000000e-06  8.90008035e-01  1.28000000e-06  9.38101694e-01 
 2.56000000e-06  8.99999971e-01  2.56000000e-06  8.50033656e-01  2.56000000e-06  8.90008037e-01  2.56000000e-06  9.38101694e-01 
 4.56000000e-06  9.00000437e-01  4.56000000e-06  8.50034383e-01  4.56000000e-06  8.90008039e-01  4.56000000e-06  9.38101694e-01 
 6.56000000e-06  9.00000903e-01  6.56000000e-06  8.50035632e-01  6.56000000e-06  8.90008040e-01  6.56000000e-06  9.38101694e-01 
 8.56000000e-06  9.00001369e-01  8.56000000e-06  8.50037336e-01  8.56000000e-06  8.90008040e-01  8.56000000e-06  9.38101694e-01 
 1.05600000e-05  9.00001835e-01  1.05600000e-05  8.50039434e-01  1.05600000e-05  8.90008041e-01  1.05600000e-05  9.38101694e-01 
 1.25600000e-05  9.00002301e-01  1.25600000e-05  8.50041874e-01  1.25600000e-05  8.90008044e-01  1.25600000e-05  9.38101694e-01 
 1.45600000e-05  9.00002767e-01  1.45600000e-05  8.50044609e-01  1.45600000e-05  8.90008049e-01  1.45600000e-05  9.38101694e-01 
 1.65600000e-05  9.00003233e-01  1.65600000e-05  8.50047601e-01  1.65600000e-05  8.90008056e-01  1.65600000e-05  9.38101694e-01 
 1.85600000e-05  9.00003699e-01  1.85600000e-05  8.50050815e-01  1.85600000e-05  8.90008066e-01  1.85600000e-05  9.38101694e-01 
 2.05600000e-05  9.00004165e-01  2.05600000e-05  8.50054222e-01  2.05600000e-05  8.90008077e-01  2.05600000e-05  9.38101694e-01 
 2.25600000e-05  9.00004631e-01  2.25600000e-05  8.50057796e-01  2.25600000e-05  8.90008091e-01  2.25600000e-05  9.38101694e-01 
 2.45600000e-05  9.00005097e-01  2.45600000e-05  8.50061514e-01  2.45600000e-05  8.90008106e-01  2.45600000e-05  9.38101694e-01 
 2.65600000e-05  9.00005563e-01  2.65600000e-05  8.50065358e-01  2.65600000e-05  8.90008125e-01  2.65600000e-05  9.38101694e-01 
 2.85600000e-05  9.00006029e-01  2.85600000e-05  8.50069310e-01  2.85600000e-05  8.90008146e-01  2.85600000e-05  9.38101694e-01 
 3.05600000e-05  9.00006494e-01  3.05600000e-05  8.50073356e-01  3.05600000e-05  8.90008170e-01  3.05600000e-05  9.38101694e-01 
 3.25600000e-05  9.00006960e-01  3.25600000e-05  8.50077484e-01  3.25600000e-05  8.90008197e-01  3.25600000e-05  9.38101693e-01 
 3.45600000e-05  9.00007426e-01  3.45600000e-05  8.50081682e-01  3.45600000e-05  8.90008226e-01  3.45600000e-05  9.38101693e-01 
 3.65600000e-05  9.00007891e-01  3.65600000e-05  8.50085942e-01  3.65600000e-05  8.90008259e-01  3.65600000e-05  9.38101693e-01 
 3.85600000e-05  9.00008357e-01  3.85600000e-05  8.50090254e-01  3.85600000e-05  8.90008294e-01  3.85600000e-05  9.38101693e-01 
 4.05600000e-05  9.00008823e-01  4.05600000e-05  8.50094612e-01  4.05600000e-05  8.90008332e-01  4.05600000e-05  9.38101692e-01 
 4.25600000e-05  9.00009288e-01  4.25600000e-05  8.50099010e-01  4.25600000e-05  8.90008374e-01  4.25600000e-05  9.38101692e-01 
 4.45600000e-05  9.00009753e-01  4.45600000e-05  8.50103442e-01  4.45600000e-05  8.90008418e-01  4.45600000e-05  9.38101692e-01 
 4.65600000e-05  9.00010219e-01  4.65600000e-05  8.50107903e-01  4.65600000e-05  8.90008465e-01  4.65600000e-05  9.38101691e-01 
 4.85600000e-05  9.00010684e-01  4.85600000e-05  8.50112391e-01  4.85600000e-05  8.90008516e-01  4.85600000e-05  9.38101691e-01 
 5.05600000e-05  9.00011150e-01  5.05600000e-05  8.50116900e-01  5.05600000e-05  8.90008569e-01  5.05600000e-05  9.38101690e-01 
 5.25600000e-05  9.00011615e-01  5.25600000e-05  8.50121429e-01  5.25600000e-05  8.90008626e-01  5.25600000e-05  9.38101689e-01 
 5.45600000e-05  9.00012080e-01  5.45600000e-05  8.50125974e-01  5.45600000e-05  8.90008685e-01  5.45600000e-05  9.38101688e-01 
 5.65600000e-05  9.00012545e-01  5.65600000e-05  8.50130534e-01  5.65600000e-05  8.90008748e-01  5.65600000e-05  9.38101687e-01 
 5.85600000e-05  9.00013011e-01  5.85600000e-05  8.50135105e-01  5.85600000e-05  8.90008814e-01  5.85600000e-05  9.38101686e-01 
 6.05600000e-05  9.00013476e-01  6.05600000e-05  8.50139688e-01  6.05600000e-05  8.90008883e-01  6.05600000e-05  9.38101685e-01 
 6.25600000e-05  9.00013941e-01  6.25600000e-05  8.50144279e-01  6.25600000e-05  8.90008956e-01  6.25600000e-05  9.38101683e-01 
 6.45600000e-05  9.00014406e-01  6.45600000e-05  8.50148879e-01  6.45600000e-05  8.90009031e-01  6.45600000e-05  9.38101682e-01 
 6.65600000e-05  9.00014871e-01  6.65600000e-05  8.50153485e-01  6.65600000e-05  8.90009109e-01  6.65600000e-05  9.38101680e-01 
 6.85600000e-05  9.00015335e-01  6.85600000e-05  8.50158096e-01  6.85600000e-05  8.90009191e-01  6.85600000e-05  9.38101678e-01 
 7.05600000e-05  9.00015800e-01  7.05600000e-05  8.50162713e-01  7.05600000e-05  8.90009276e-01  7.05600000e-05  9.38101675e-01 
 7.25600000e-05  9.00016265e-01  7.25600000e-05  8.50167334e-01  7.25600000e-05  8.90009364e-01  7.25600000e-05  9.38101673e-01 
 7.45600000e-05  9.00016730e-01  7.45600000e-05  8.50171958e-01  7.45600000e-05  8.90009455e-01  7.45600000e-05  9.38101670e-01 
 7.65600000e-05  9.00017194e-01  7.65600000e-05  8.50176586e-01  7.65600000e-05  8.90009549e-01  7.65600000e-05  9.38101667e-01 
 7.85600000e-05  9.00017659e-01  7.85600000e-05  8.50181215e-01  7.85600000e-05  8.90009647e-01  7.85600000e-05  9.38101664e-01 
 8.05600000e-05  9.00018123e-01  8.05600000e-05  8.50185847e-01  8.05600000e-05  8.90009748e-01  8.05600000e-05  9.38101660e-01 
